,date_forecast,lower,mean,upper,k
14,2022-04-01,0.06269379893239169,0.06820615187660017,0.07416478536675042,Sutton Place
15,2022-07-01,0.08243602705461539,0.08757756347360224,0.09333105042448109,Sutton Place
16,2022-10-01,0.09239212388822704,0.09703860750591131,0.10223551992960211,Sutton Place
17,2023-01-01,0.1206178912861513,0.12591032192894458,0.13155432246171994,Sutton Place
18,2023-04-01,0.1425339986561609,0.14801489117761224,0.15379813831870415,Sutton Place
19,2023-07-01,0.13151301617111466,0.13637411359501006,0.1415378335548827,Sutton Place
20,2023-10-01,0.1305796041418974,0.13538671583088524,0.1405534079005677,Sutton Place
0,2018-10-01,0.37751799259467944,0.37751799259467944,0.37751799259467944,Turks (Approx) - Miami S. Beach 5 stars
1,2019-01-01,0.37966415720750657,0.3897533625976344,0.3994704193551899,Turks (Approx) - Miami S. Beach 5 stars
2,2019-04-01,0.38155461094034027,0.3969450661389686,0.41145066526693563,Turks (Approx) - Miami S. Beach 5 stars
3,2019-07-01,0.3913175844815804,0.4083971771487396,0.426560177451093,Turks (Approx) - Miami S. Beach 5 stars
4,2019-10-01,0.3872633632893636,0.4088238197278933,0.4300243108831676,Turks (Approx) - Miami S. Beach 5 stars
5,2020-01-01,0.39829385146862273,0.4226452913085257,0.44492856217574994,Turks (Approx) - Miami S. Beach 5 stars
6,2020-04-01,0.414832936623593,0.44167078427369555,0.4667513092588744,Turks (Approx) - Miami S. Beach 5 stars
7,2020-07-01,0.40630950013537626,0.43473899242043834,0.4620943495048335,Turks (Approx) - Miami S. Beach 5 stars
8,2020-10-01,0.382917199985775,0.415358150205575,0.4465116664368889,Turks (Approx) - Miami S. Beach 5 stars
9,2021-01-01,0.32427589836153503,0.3644574030023424,0.40240091858831617,Turks (Approx) - Miami S. Beach 5 stars
10,2021-04-01,0.25900240211491554,0.306602276809975,0.34953267633615415,Turks (Approx) - Miami S. Beach 5 stars
11,2021-07-01,0.21686552957767757,0.2701832941908162,0.3184483528232305,Turks (Approx) - Miami S. Beach 5 stars
12,2021-10-01,0.18129845292077595,0.24464230740702542,0.298082484196623,Turks (Approx) - Miami S. Beach 5 stars
13,2022-01-01,0.10737127518131229,0.18347426804371758,0.24385092985263523,Turks (Approx) - Miami S. Beach 5 stars
14,2022-04-01,-0.030097884169836497,0.052741468297919036,0.11444621544199185,Turks (Approx) - Miami S. Beach 5 stars
15,2022-07-01,-0.027881148142332224,0.05657536345734493,0.1236080474766228,Turks (Approx) - Miami S. Beach 5 stars
16,2022-10-01,0.00418875667917451,0.0780062589593793,0.14277316010113617,Turks (Approx) - Miami S. Beach 5 stars
17,2023-01-01,0.03595544306571652,0.11548671006410993,0.18447053596129992,Turks (Approx) - Miami S. Beach 5 stars
18,2023-04-01,0.059254788594594876,0.13360597858513912,0.1986822069166374,Turks (Approx) - Miami S. Beach 5 stars
19,2023-07-01,0.06459591814277799,0.12502710998329492,0.18575656799697793,Turks (Approx) - Miami S. Beach 5 stars
20,2023-10-01,0.06035249833470924,0.12692324312986436,0.1884197276231343,Turks (Approx) - Miami S. Beach 5 stars
0,2018-10-01,0.06170753838179732,0.06170753838179732,0.06170753838179732,el retiro Farm
1,2019-01-01,0.034832644270132995,0.05652157115714096,0.07247743863414646,el retiro Farm
2,2019-04-01,0.04996557160899351,0.07889758108218259,0.10103977872048842,el retiro Farm
3,2019-07-01,0.07044677351563822,0.1026601593694807,0.13061871124599178,el retiro Farm
4,2019-10-01,0.06781162751273451,0.10471130359677949,0.13779136441611994,el retiro Farm
5,2020-01-01,0.08386997327256962,0.12676019580716602,0.16459454014151276,el retiro Farm
6,2020-04-01,0.12424142243387748,0.17011923496718584,0.2117101562286019,el retiro Farm
7,2020-07-01,0.10672759548642485,0.15780562678633125,0.2040211825896805,el retiro Farm
8,2020-10-01,0.08976158039627435,0.1435233300975718,0.19379702512378927,el retiro Farm
9,2021-01-01,0.0666934902779941,0.12360679449522705,0.17496018916438105,el retiro Farm
10,2021-04-01,0.07682650598979723,0.13429534556709433,0.18834685393297868,el retiro Farm
11,2021-07-01,0.09075387776304211,0.1512037198967382,0.2074189343305699,el retiro Farm
12,2021-10-01,0.08415324078625375,0.14718256364252902,0.20329643655551544,el retiro Farm
13,2022-01-01,0.0703508741030856,0.13734915707748163,0.19712008134204417,el retiro Farm
14,2022-04-01,0.05269296782767774,0.12337395233609039,0.18720154727689353,el retiro Farm
15,2022-07-01,0.09256489273399149,0.1640971302104235,0.22801507858454628,el retiro Farm
